date,close
2023-01-03,125.07
2023-01-04,126.36
2023-01-05,125.02
2023-01-06,129.62
2023-01-09,130.15
2023-01-10,130.73
2023-01-11,133.49
2023-01-12,133.41
2023-01-13,134.76
2023-01-17,135.94
2023-01-18,135.21
2023-01-19,135.27
2023-01-20,137.87
2023-01-23,141.11
2023-01-24,142.53
2023-01-25,141.86
2023-01-26,143.96
2023-01-27,145.93
2023-01-30,143.00
2023-01-31,144.29
2023-02-01,145.43
2023-02-02,150.82
2023-02-03,154.50
2023-02-06,151.73
2023-02-07,154.65
2023-02-08,151.92
2023-02-09,150.87
2023-02-10,151.01
2023-02-13,153.85
2023-02-14,153.20
2023-02-15,155.33
2023-02-16,152.55
2023-02-17,152.37
2023-02-21,148.48
2023-02-22,149.40
2023-02-23,149.40
2023-02-24,147.92
2023-02-27,147.33
2023-02-28,147.41
2023-03-01,145.31
2023-03-02,145.91
2023-03-03,151.03
2023-03-06,153.83
2023-03-07,150.59
2023-03-08,152.99
2023-03-09,150.59
2023-03-10,148.50
2023-03-13,150.47
2023-03-14,152.59
2023-03-15,152.99
2023-03-16,155.85
2023-03-17,155.00
2023-03-20,157.40
2023-03-21,159.28
2023-03-22,157.83
2023-03-23,158.93
2023-03-24,160.25
2023-03-27,158.28
2023-03-28,157.65
2023-03-29,160.77
2023-03-30,162.36
2023-03-31,164.90
2023-04-03,166.47
2023-04-04,165.79
2023-04-05,163.76
2023-04-06,164.66
2023-04-10,162.03
2023-04-11,160.80
2023-04-12,162.19
2023-04-13,165.21
2023-04-14,165.23
2023-04-17,165.79
2023-04-18,166.65
2023-04-19,167.83
2023-04-20,166.65
2023-04-21,165.02
2023-04-24,165.33
2023-04-25,163.77
2023-04-26,163.76
2023-04-27,168.41
2023-04-28,169.68
2023-05-01,169.85
2023-05-02,168.54
2023-05-03,167.45
2023-05-04,165.79
2023-05-05,174.20
2023-05-08,173.57
2023-05-09,171.96
2023-05-10,173.55
2023-05-11,173.75
2023-05-12,172.57
2023-05-15,172.07
2023-05-16,172.07
2023-05-17,172.69
2023-05-18,175.16
2023-05-19,175.01
2023-05-22,174.20
2023-05-23,171.83
2023-05-24,171.21
2023-05-25,172.57
2023-05-26,175.43
2023-05-30,177.30
2023-05-31,177.25
2023-06-01,180.09
2023-06-02,180.57
2023-06-05,179.58
2023-06-06,179.21
2023-06-07,177.82
2023-06-08,180.57
2023-06-09,180.95
2023-06-12,183.31
2023-06-13,183.79
2023-06-14,183.31
2023-06-15,186.01
2023-06-16,184.92
2023-06-20,185.01
2023-06-21,183.96
2023-06-22,187.00
2023-06-23,186.68
2023-06-26,185.27
2023-06-27,188.06
2023-06-28,189.25
2023-06-29,189.59
2023-06-30,189.95
2023-07-03,192.46
2023-07-05,191.33
2023-07-06,191.81
2023-07-07,190.54
2023-07-10,188.61
2023-07-11,188.08
2023-07-12,189.77
2023-07-13,190.54
2023-07-14,190.69
2023-07-17,193.99
2023-07-18,193.02
2023-07-19,195.61
2023-07-20,191.26
2023-07-21,191.94
2023-07-24,192.75
2023-07-25,192.58
2023-07-26,194.50
2023-07-27,193.97
2023-07-28,195.83
2023-07-31,196.45
2023-08-01,195.61
2023-08-02,192.58
2023-08-03,191.17
2023-08-04,178.19
2023-08-07,178.19
2023-08-08,179.80
2023-08-09,178.19
2023-08-10,177.97
2023-08-11,177.79
2023-08-14,179.46
2023-08-15,177.45
2023-08-16,176.57
2023-08-17,174.00
2023-08-18,175.01
2023-08-21,175.84
2023-08-22,177.23
2023-08-23,178.19
2023-08-24,176.38
2023-08-25,178.61
2023-08-28,180.09
2023-08-29,184.12
2023-08-30,187.65
